"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
180109,"I.E. CAPACITACIONES INTELCOC - SEDE PRINCIPAL",54518,"PAMPLONA","NORTE SANTANDER","A","NO OFICIAL","MAÑANA",11,50.64,41.55,43.18,43,47,41,43.27
110981,"COL CIAL MIXTO INCANOF",76248,"EL CERRITO","VALLE","A","NO OFICIAL","NOCHE",3,32.33,29.33,29.33,31.67,30,24.33,29.67
86918,"JORGE ISAAC",63001,"ARMENIA","QUINDIO","A","NO OFICIAL","SABATINA - DOMINICAL",1,52,53,55,34,42,59,56
66456,"COLEGIO COOPERATIVO LINO GIL JARAMILLO",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",1,41,51,26,18,40,52,28
126409,"CORPORACION COLEGIO CUMBRES",5266,"ENVIGADO","ANTIOQUIA","B","NO OFICIAL","COMPLETA U ORDINARIA",67,66.07,69.43,70.57,70.4,83.55,71.54,68.85
85472,"INSTITUTO CENTRAL DE ESTUDIOS S.A.S - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",38,53.37,53.03,56.11,53.37,54.63,54.66,56.37
79590,"INSTITUCION EDUCATICA COLEGIO GUILLERMO NIÑO MEDINA",50001,"VILLAVICENCIO","META","A","OFICIAL","NOCHE",4,48,48,46.25,54.25,47.75,46,48.5
17806,"LICEO FRANCES PAUL VALERY",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",62,64.6,70.79,68.58,67.84,78.97,71.42,65.37
170803,"COLEGIO CORPORACION SANTO DOMINGO",15001,"TUNJA","BOYACA","A","NO OFICIAL","SABATINA - DOMINICAL",16,48,47.31,50.94,50.69,47.13,49.5,52.31
130591,"INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","TARDE",17,43.24,43.76,43.71,39.94,42.53,45.24,43.47
53926,"CENT EDUC DIST GRAN COLOMBIANO",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","MAÑANA",30,50.5,52.2,51.73,55.9,49.2,52.1,50.63
53090,"SANTA TERESA DE JESUS FE Y ALEGRIA",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",1,64,52,69,56,43,57,63
129650,"COLEGIO BRITÁNICO-THE BRITISH SCHOOL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",20,66.45,64,70.75,71.05,83.9,64.65,68.35
36897,"COLEGIO JOSE ACEVEDO Y GOMEZ",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",5,52.2,54,57.8,62.2,56,58,58.8
169748,"INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA",15238,"DUITAMA","BOYACA","A","NO OFICIAL","MAÑANA",18,48.33,47.94,48.44,48.39,48.17,47.39,49.78
83048,"INST STUDIUM",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","COMPLETA U ORDINARIA",24,57.5,56.13,58.83,61.04,67.21,58.04,56.54
156802,"INSTITUTO LOS ANDES - SEDE PRINCIPAL",50001,"VILLAVICENCIO","META","A","NO OFICIAL","MAÑANA",53,46.13,44.25,44.17,42.85,45.36,45.58,44.74
162321,"IE LICEO MODERNO DEL SUR",47189,"CIENAGA","MAGDALENA","A","OFICIAL","NOCHE",19,40.05,38.21,40.84,36.58,42.21,38.21,40.16
9696,"IE LICEO DE SANTA LIBRADA",41001,"NEIVA","HUILA","A","OFICIAL","NOCHE",6,50.67,41.17,41,43.67,40.5,41.33,43.83
74302,"COLEGIO GIMNASIO PANAMERICANO",73001,"IBAGUE","TOLIMA","A","NO OFICIAL","MAÑANA",15,50.53,44.4,52.67,46.6,48.67,44.93,53.73
2287,"COLEGIO NOCTURNO MONSEQOR EMILIO BOTERO GONZALEZ",5440,"MARINILLA","ANTIOQUIA","A","OFICIAL","NOCHE",9,48,44.56,50.22,44.22,47.89,46.67,49.33
31401,"COLEGIO  DE NUESTRA SEÑORA DE CHIQUINQUIRA",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",28,57.07,58.61,58.96,59.79,55.96,58.39,59.82
188581,"COLEGIO FORMARTE - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",23,55.65,55.17,59.13,59.17,56.35,55.39,57.96
173195,"INSTITUCION EDUCATIVA EL SALADO",5266,"ENVIGADO","ANTIOQUIA","A","OFICIAL","SABATINA - DOMINICAL",14,44.79,43.64,42.21,34.93,43.86,44.79,43.5
25411,"GIMN DE LOS CERROS",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",67,66.78,73.82,72.16,74.61,85.46,74.69,69.34
111427,"COLEGIO EL HOGAR",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",1,39,26,37,40,37,29,38
108316,"COLEGIO DE BACHILLERATO NUEVA ESPERANZA",15238,"DUITAMA","BOYACA","A","OFICIAL","SABATINA - DOMINICAL",24,50.08,49.13,49.08,48,45.67,49.21,49.38
93518,"COLEGIO BOSTON - SEDE PRINCIPAL",17001,"MANIZALES","CALDAS","A","NO OFICIAL","MAÑANA",16,54.5,49.75,56.38,51.88,54.88,50.5,53.94
191155,"INSTITUTO TRASPASANDO FRONTERAS - SEDE PRINCIPAL",19698,"SANTANDER DE QUILICHAO","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",17,39.88,40.35,32.94,36.24,42.82,40.59,34.18
144931,"CE PARA JOVENES Y ADULTOS PALMIRA - SEDE PRINCIPAL",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",21,48.29,44.95,46.67,46.9,49.52,45.71,48.1
84947,"INEM JOSE CELESTINO MUTIS",63001,"ARMENIA","QUINDIO","A","OFICIAL","SABATINA - DOMINICAL",77,46.27,44.44,45.06,41.94,45.48,45.7,45.55
134692,"INSTITUCION EDUCATIVA URIBESCO - SEDE PRINCIPAL",15001,"TUNJA","BOYACA","A","NO OFICIAL","MAÑANA",15,51.4,54.8,56.8,56.4,53.4,53.47,56.33
119032,"INSTITUTO NACIONAL DE ESTUDIOS INTEC - SEDE PRINCIPAL",5360,"ITAGUI","ANTIOQUIA","A","NO OFICIAL","TARDE",4,47,44.25,42.75,31.75,43.75,45.5,42
79368,"COL FONTAN",25175,"CHIA","CUNDINAMARCA","A","NO OFICIAL","COMPLETA U ORDINARIA",20,63.1,66.85,70,68.1,75.65,67.5,67.05
88724,"CENT EDUCATIVO EMPRESARIAL COMFACAUCA",19001,"POPAYAN","CAUCA",NA,"NO OFICIAL","TARDE",43,46.09,47.88,45.56,45.37,46.26,48.49,45.51
118554,"COL. REAL JEAN PIAGET",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",13,56.62,55.62,61.15,58.77,63.85,56.15,58
179382,"CENTRO JUVENIL AMIGONIANO CASANARE - SEDE PRINCIPAL",85001,"YOPAL","CASANARE",NA,"NO OFICIAL","MAÑANA",4,45.75,41,43.5,39.75,44.25,39.75,44.25
177196,"INST EDUC GAIA",76892,"YUMBO","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",7,55.29,54.29,59,62.29,57.57,54.29,59
110742,"COL INST INSCAP - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",75,46.79,47.2,46.4,45.4,45.05,48.03,47.19
117952,"COLEGIO BILINGUE MONTESSORI",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",24,57.88,57.54,60.33,57.13,64.88,58.08,60.38
136515,"INST WINDSOR - SEDE PRINCIPAL",54001,"CUCUTA","NORTE SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",8,41.88,41.25,44.88,39.5,43.38,43,47.13
72660,"COL CENTRO CULTURAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",29,45.1,45.31,47.34,44.45,45,46.21,47.45
129601,"LIC CAMPESTRE CRECER",76520,"PALMIRA","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",9,60.78,58.11,64.89,60.78,60.22,61.56,63.67
101451,"I.E. LEON XIII - SEDE PRINCIPAL",13654,"SAN JACINTO","BOLIVAR","A","OFICIAL","SABATINA - DOMINICAL",2,35,43,45.5,41.5,45.5,47.5,42
85332,"BTO PARA ADULTOS COLSUBSIDIO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",59,48.1,48.81,48.64,48.83,47.63,49.17,49.03
135764,"CORPORACION EDUCATIVA ARKOS U",25269,"FACATATIVA","CUNDINAMARCA","A","NO OFICIAL","TARDE",44,45.57,47.5,47.8,44.98,45.89,48.75,47.84
135921,"COL LOS TREBOLES",25175,"CHIA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",21,68.24,70.05,71.76,69.38,85.67,72.57,69.24
95760,"FUNDACI¿N EDUCATIVA DE COLOMBIA - FUNDECOL - SEDE PRINCIPAL",68001,"BUCARAMANGA","SANTANDER","A","NO OFICIAL","MAÑANA",14,44.71,46,44.64,40.07,44.57,44.86,48.07
46235,"COLEGIO FRANCISCO JOSE DE CALDAS",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",28,58.68,62.14,60.11,64.04,58.5,63.39,59.93
178038,"COL ARCA INTERNACIONAL - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",8,68,75.75,67.25,70.5,82.63,77.13,66.13
176453,"COLEGIO BACHILLERATO COLSUP - SEDE PRINCIPAL",52001,"PASTO","NARIÑO","A","NO OFICIAL","MAÑANA",16,47.25,46.25,46.5,48.25,46.44,47.88,47.19
154567,"COLEGIO UNICAB VIRTUAL - SEDE PRINCIPAL",15759,"SOGAMOSO","BOYACA","A","NO OFICIAL","COMPLETA U ORDINARIA",3,52.67,58.33,60.67,59,50.33,58,60.67
169466,"GIMNASIO YACARD - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",15,54.87,56.2,55.6,58.8,68.87,56,56.2
135129,"COL BOSTON",25269,"FACATATIVA","CUNDINAMARCA","A","NO OFICIAL","COMPLETA U ORDINARIA",8,46.75,50,43.13,47.88,47.25,52.13,44.5
