"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
89458,"LICEO COMPUTARIZADO SISTEVALLE",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",27,51.41,50.7,52.96,51.44,50.44,51.93,53.22
87379,"CENTRO DOCENTE SANTA ANITA - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",14,44.29,42.86,45.21,42.5,44.79,43.93,45.71
66860,"FUND IDEALES GIMN SANTA ANA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",14,67.93,67.14,71.79,70.21,81.07,69.57,67.36
41459,"COLEGIO COMERCIAL DE PALMIRA - SEDE PRINCIPAL",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",10,57.9,57.4,57.9,61.5,57.1,61.2,57.5
18143,"COL DIOCESANO GIMNASIO CENTRAL DEL VALLE",76111,"BUGA","VALLE","B","NO OFICIAL","MAÑANA",49,61.69,64.33,63.43,63.78,59.98,65.35,60.98
7088,"COL SAN JOSE DE TARBES",19001,"POPAYAN","CAUCA","B","NO OFICIAL","MAÑANA",46,62.15,65.22,63.89,68.2,67,67.74,62.54
136887,"COL JOSE ASUNCION SILVA",15516,"PAIPA","BOYACA","A","NO OFICIAL","MAÑANA",9,55,50.56,57.22,55.11,48.56,52.67,55.11
190645,"COL INTEGD SAN JOSE",68276,"FLORIDABLANCA","SANTANDER","A","NO OFICIAL","TARDE",4,51,48.25,52.5,55.75,56,49,50
88625,"POLITECNICO MAYOR ANDINO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",2,32.5,36,39.5,28.5,40,39,43
156307,"GIMNACIO LATINO AMERICANO LA CASA DE MICKEY MAUSE",19001,"POPAYAN","CAUCA","B","NO OFICIAL","MAÑANA",11,57.27,57.45,58.82,63.09,59,59.36,58.45
84301,"INST PARA EL DESARROLLO HUMANO INTEGRAL - IDHI",76111,"BUGA","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",4,51.5,49.5,58,49.25,58.75,51,58.5
130641,"COL MODERNO  JOHN DEWEY",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",3,67.33,64.33,61.33,64.67,75.33,66,60.33
124891,"CORP TEC PARA JOVENES Y ADULTOS GENERAL SANTANDER - SEDE PRINCIPAL",68679,"SAN GIL","SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",17,42.76,42.76,44.41,37.35,43.59,44.06,46.24
104737,"INST SERV EDUC NAL DE ADULTOS SENDAS",73443,"MARIQUITA","TOLIMA","A","NO OFICIAL","SABATINA - DOMINICAL",45,42.67,42.44,42.11,39.49,44.53,43.44,42.69
55806,"COLEGIO GIMNASIO LA COLINA",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",33,64.76,72.33,69.45,70.79,84.09,74.36,66.24
83378,"CENT DE CAPACITACION  LTDA (CENCABO)",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","COMPLETA U ORDINARIA",22,55.45,51.91,56.64,52.36,58.64,52.41,56.23
17343,"COL ALTERNATIVA PEDAGÓGICA INTEGRADA COMFANDI ALPEINCO",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",125,43.08,41.92,42.31,37.96,44.1,42.34,42.78
48371,"COL MILIT GENERAL AGUSTIN CODAZZI",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",36,55.53,62.58,58.53,59.92,61.44,63.36,58.61
74963,"COLEGIO DE CAPACITACIÓN DE ENVIGADO",5266,"ENVIGADO","ANTIOQUIA","A","NO OFICIAL","SABATINA - DOMINICAL",1,49,43,53,46,41,43,44
111716,"LICEO BRITANICO SUPERIOR (ANTES TEDUCAMOS 1A) - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","COMPLETA U ORDINARIA",14,49,47.71,52.5,47.57,49.21,47.21,50.36
118331,"INST INTEGRADO DE SUBA",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",10,44.2,45.3,45.9,46,43,48.1,47
137026,"COL  PRINCIPE SAN CARLOS",68001,"BUCARAMANGA","SANTANDER","A","NO OFICIAL","TARDE",17,53.76,54.47,54.88,57.24,51.59,56.53,55
20503,"COL TRINIDAD DEL MONTE",25175,"CHIA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",21,67.33,68.62,70.81,70.81,85.67,69.52,68.19
19463,"COL NUEVO REINO DE GRANADA",25214,"COTA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",38,59.13,61.68,64.32,64.97,71.16,63.18,63.08
92940,"CENTRO DE ESTUDIOS PROTEA - SEDE PRINCIPAL",73001,"IBAGUE","TOLIMA","A","NO OFICIAL","COMPLETA U ORDINARIA",25,44.76,43.84,44.2,39.6,45.72,45.56,44.08
82941,"COL DE EDUC BAS SEC Y MEDIA ACAD HEISENBERG",73168,"CHAPARRAL","TOLIMA","A","NO OFICIAL","SABATINA - DOMINICAL",1,45,47,43,42,42,37,43
19349,"COL ANDINO",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",110,67.3,75.4,73.01,74.06,84.26,77.18,69.71
106286,"COL TILATA - SEDE PRINCIPAL",25377,"LA CALERA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",35,68.14,71.49,72.66,72.09,84.31,71.43,69.26
152512,"INST EDUC SAN JUAN BAUTISTA DE LA SALLE",5001,"MEDELLIN","ANTIOQUIA","A","OFICIAL","NOCHE",3,49.33,50.67,36.33,38.33,43.33,48.67,37.67
29231,"CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",55,66.44,73.27,73.89,75.4,77.91,75.51,69.58
169847,"ESCUELA NORMAL SUPERIOR DE TIERRADENTRO ENRIQUE VALLEJO",19517,"PAEZ (BELALCAZAR)","CAUCA","A","OFICIAL","SABATINA - DOMINICAL",31,40.32,38.58,36.29,34.39,42.58,40.9,39.26
118745,"COLEGIO MIXTO SAN VICENTE",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",35,55.57,54.14,59.06,55.2,59.14,55.51,57.69
79038,"COL COMFAMILIAR DE NARIÑO SIGLO XXI",52001,"PASTO","NARIÑO","B","NO OFICIAL","MAÑANA",40,57.9,60.08,59.88,61.03,55.03,60.58,58.95
36640,"I.E. COLOMBO ESPAÑOL ALFEREZ REAL - SEDE PRINCIPAL",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",3,56.67,61.33,64.33,64.33,58.67,62.33,63.33
88609,"INST INGABO SEDE RESTREPO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",10,45.5,46.9,50.4,45.4,45.5,49.2,48.1
175281,"INSTITUO MAYOR DEL META - SEDE PRINCIPAL",50001,"VILLAVICENCIO","META","A","NO OFICIAL","TARDE",10,48.7,43.4,42.9,38.8,46.6,45.4,44.5
76281,"NUEVO GIMNASIO CRISTIANO",25214,"COTA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",35,66.74,68.37,71,70.57,74.89,69.4,68
79921,"INST DE CAPACITACION PARA EL TRABAJO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",15,51.87,49.27,50.33,51.8,52.33,50.73,50.93
32060,"I.E.T. DE PROMOCION SOCIAL - SEDE PRINCIPAL",13244,"EL CARMEN DE BOLIVAR","BOLIVAR","A","OFICIAL","MAÑANA",9,43.22,42.22,40.56,35.89,43.44,42.67,41.89
18267,"INSTITUCIÓN EDUCATIVA DIOCESANA PAULO VI",76147,"CARTAGO","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",10,55.5,61.4,59,65.1,53.9,61.5,58.1
79657,"COLEGIO BRITANICO DE MONTERIA - SEDE PRINCIPAL",23001,"MONTERIA","CORDOBA","B","NO OFICIAL","COMPLETA U ORDINARIA",25,67.08,67.56,69.08,70.48,85.08,68.36,67.44
149781,"COLEGIO EMANUEL RUBIANO - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",1,49,51,53,62,43,55,57
117176,"CENTRO DE FORMACION INTEGRAL MARGARITA HURTADO - SEDE PRINCIPAL",76109,"BUENAVENTURA","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",45,41.56,40.84,39.82,33.51,43.71,40.73,40.56
136531,"INST DE EDUCACION COMFENALCO VALLE",76111,"BUGA","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",12,47.17,46.83,45.92,43.17,44.58,48.42,45.67
113761,"I.E. JUAN NEPOMUCENO CADAVID - SEDE PRINCIPAL",5360,"ITAGUI","ANTIOQUIA","A","OFICIAL","MAÑANA",7,52.43,48.43,55.14,47.29,47.71,51.29,56
17137,"COLEGIO MARIA AUXILIADORA",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",33,61.55,60.94,61.67,61.52,65.7,64.12,60.36
150243,"CIBERCOLEGIO UCN - SEDE PRINCIPAL",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","COMPLETA U ORDINARIA",9,57.56,55.78,57.22,56.11,55.67,57.78,56.44
96131,"INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO",8573,"PUERTO COLOMBIA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",38,63.26,64.79,65.87,68.21,75.13,66.55,64.47
95034,"COLEGIO COMFANDI TULUA",76834,"TULUA","VALLE","A","NO OFICIAL","NOCHE",26,42.15,41.35,40.04,38,41.31,42.31,40.31
101659,"BACHILLERATO INTEGRAL DEL QUINDIO",63001,"ARMENIA","QUINDIO","A","NO OFICIAL","MAÑANA",21,46.38,47.14,46.95,47.33,47.9,47.48,47.33
16733,"COLEGIO BENNETT",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",46,65.74,70.72,71.48,69.65,86.43,72.91,69.63
130583,"INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO) - SEDE PRINCIPAL",66001,"PEREIRA","RISARALDA","A","NO OFICIAL","MAÑANA",12,51.25,49.17,53.25,51.08,51.25,51,52.58
189704,"LUIS ONOFRE ACOSTA",41530,"PALESTINA","HUILA","A","OFICIAL","COMPLETA U ORDINARIA",8,46.75,44,48.75,49.75,46.63,46.5,48.63
38885,"COL BOGOTANO MIXTO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","TARDE",3,56.67,65.33,62.67,60.33,55,70.33,61
17129,"COLEGIO MAYOR ALFEREZ REAL",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",56,59.14,59.96,57.95,65.61,58.11,61.09,58.34
169417,"INSTITUTO ESTUDIANTIL REGIONAL INTER - SEDE PRINCIPAL",54498,"OCAÑA","NORTE SANTANDER","A","NO OFICIAL","COMPLETA U ORDINARIA",6,46.17,48.17,43.67,42.33,40.83,47.17,42
183160,"INSTITUTO TOMAS MORO - SEDE PRINCIPAL",25430,"MADRID","CUNDINAMARCA","A","NO OFICIAL","SABATINA - DOMINICAL",21,44.24,44.24,45.24,43.67,44.48,44.05,44.43
101634,"INST EDUC FORMAL PARA JOVENES Y ADULTOS PREPAR SAN SEBASTIAN",73001,"IBAGUE","TOLIMA","A","NO OFICIAL","SABATINA - DOMINICAL",2,45,43,38.5,40.5,45.5,42.5,38
109124,"FRANCISCO JOSE DE CALDAS",81001,"ARAUCA","ARAUCA","A","OFICIAL","SABATINA - DOMINICAL",17,46.06,43.35,39.29,41.35,44.41,43.94,40.24
145797,"CENTRO EDUCATIVO PARA LA FORMACION EN COMPETENCIAS  COMPUCEC  - SEDE PRINCIPAL",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","MAÑANA",11,45.64,48.91,48.55,44.09,46.73,52,48
85712,"COL VIRTUAL SIGLO XXI",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","COMPLETA U ORDINARIA",13,57,53.15,58.23,57.77,59,55,56.69
16881,"COL DE LA SAGRADA FAMILIA",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",32,63.25,59.13,61.88,62.91,67.97,59.5,60.84
175299,"INSTITUO MAYOR DEL META - SEDE PRINCIPAL",50001,"VILLAVICENCIO","META","A","NO OFICIAL","NOCHE",1,61,61,51,58,42,64,48
17459,"GIMN LOS FARALLONES",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",10,61.2,62.3,62.7,68,68.3,64.3,62.4
69377,"INST IMMANUEL KANT(ANTES LIC COLOMBO LATINO)",50001,"VILLAVICENCIO","META","A","NO OFICIAL","MAÑANA",38,48.92,48.76,47.95,46.13,47.24,49.08,47.53
168682,"CENTRO DE ESTUDIOS MULTITÉCNICO",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","MAÑANA",8,45.25,44.75,45.88,40.38,46,47.63,46
81901,"COL ESTUDIAR AULA SIN FRONTERAS",52001,"PASTO","NARIÑO","B","NO OFICIAL","MAÑANA",11,46.64,46.55,46.09,47.45,46.45,46,46.45
107615,"I.E. SAN JOSÉ MARÍA ESCRIVA DE BALAGUER - SEDE PRINCIPAL",25175,"CHIA","CUNDINAMARCA","A","OFICIAL","MAÑANA",1,56,68,68,64,58,72,59
16709,"CORPORACION COLEGIO AMERICAS UNIDAS",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",54,56.06,52.78,56.43,54.46,57,53.96,55.83
17376,"SANTA  MARIA STELLA MARIS",76001,"CALI","VALLE","A","NO OFICIAL","COMPLETA U ORDINARIA",20,61.8,60.65,64.4,62.6,67.65,62.05,64.65
133488,"POLITECNICO INTERAMERICANO - SEDE PRINCIPAL",5376,"LA CEJA","ANTIOQUIA","A","NO OFICIAL","SABATINA - DOMINICAL",28,46.04,45.75,47.75,44.86,44.29,45.25,49.07
157883,"COLEGIO SAN CARLOS - SEDE PRINCIPAL",19001,"POPAYAN","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",12,43.17,43.42,41.08,37.67,41.08,43.33,41.08
66431,"COL INTERNACIONAL DE BOGOTA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",26,66.85,75.38,73.81,72.19,87.15,75.31,68.92
81190,"COL HEISENBERG SEDE KENNEDY",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",37,47.16,45.24,46.14,43.62,47.51,45.84,46.3
143644,"COLEGIO BURECHE",47001,"SANTA MARTA","MAGDALENA","B","NO OFICIAL","MAÑANA",40,68.65,70.88,72.6,71.43,85.13,71.93,68.35
78873,"COL CIAL MIX INCANOF",76520,"PALMIRA","VALLE","A","NO OFICIAL","NOCHE",58,44.17,42.74,43.03,40.43,46.02,43.74,43.02
101691,"CENTRO DOCENTE TOMAS CIPRIANO  MOSQUERA",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",16,47.31,52,52.38,51.38,47.88,53.5,53.25
111138,"INST SOLUCION EDUCATIVA SOLED",15238,"DUITAMA","BOYACA","A","NO OFICIAL","MAÑANA",13,48.85,46.15,52.77,49.31,46.38,45.69,52.54
70698,"INST SER INTERNACIONAL SEDE  DIAMANTE",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",20,49.25,46.35,48.1,43.2,47.85,47.95,48.3
106229,"COL FUND CARDENAL JHON HENRY NEWMAN",25126,"CAJICA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",45,68.16,70.13,70.51,71.58,85.76,71.56,67.29
140632,"COLEGIO INSTITUTO SANTIAGO DE COMPOSTELA - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",11,53.36,56.91,59.73,54.73,61.64,58,57.45
74625,"21/01 INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO",76001,"CALI","VALLE","A","OFICIAL","NOCHE",5,52.4,41,52.4,50.2,48.2,44,51.6
169342,"COL VILLA MARIA",25473,"MOSQUERA","CUNDINAMARCA","A","NO OFICIAL","SABATINA - DOMINICAL",41,48.15,43.2,46.66,40.98,43.56,44.32,47.83
119206,"INST INGABO SEDE CHAPINERO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",11,47.64,47.36,41.73,44.36,46.27,47.55,43
105577,"INSTITUTO DE EDUCACION INTEGRAL JOSE CELESTINO MUTIS",76109,"BUENAVENTURA","VALLE","A","NO OFICIAL","SABATINA - DOMINICAL",12,43.42,43.5,39.5,36.25,43.17,42.08,39.5
177667,"COLEGIO BOSTON - SEDE PRINCIPAL",17001,"MANIZALES","CALDAS","A","NO OFICIAL","SABATINA - DOMINICAL",1,49,51,64,49,49,55,66
62497,"COL SAN MATEO APOSTOL",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",55,70.82,82.76,75.87,77.95,88.95,83.09,72.64
39040,"ESCUELA URBANA JOSE ANTONIO GALAN",68296,"GALAN","SANTANDER","A","OFICIAL","MAÑANA",21,43.29,43.1,42.52,38.1,40.1,43.76,42.33
94052,"CENT SOCIAL DE ESTUDIOS",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",2,43,49.5,37.5,47.5,45,52,38.5
133124,"CENTRO DE EDUCACION PARA ADULTOS NUEVO MILENIO",8758,"SOLEDAD","ATLANTICO","A","NO OFICIAL","NOCHE",3,49,50.67,48.33,47,55,51,50.67
134791,"COL TECNOLOGICO DE SUBA",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",5,44.2,44,45.6,43.2,41.6,47.8,47.2
99770,"CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",45,47.47,46.31,46.73,43.8,48.42,46.62,46.56
100479,"COL.SANTA MARIA DE PANCE",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",24,55.13,54.46,57.46,55.75,57.79,57.04,56.29
108969,"I E  RODRIGO LARA BONILLA",41001,"NEIVA","HUILA","A","OFICIAL","MAÑANA",2,22.5,31,28.5,28,38,32,32
143495,"LIC SANTA TERESITA DE PASTO",52001,"PASTO","NARIÑO","B","NO OFICIAL","TARDE",21,49.52,45.71,47.67,46.62,46.62,47.29,49.29
88831,"COLEGIO TRIÁNGULO - SEDE PRINCIPAL",25899,"ZIPAQUIRA","CUNDINAMARCA","A","NO OFICIAL","MAÑANA",13,47.77,47.46,47.85,45,46.69,46.54,47.23
53074,"COLEGIO SAN ALBERTO MAGNO",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",20,60.35,58.65,61.25,61.4,62.25,60.3,59.55
53447,"INST EDUC HECTOR ABAD GOMEZ",5001,"MEDELLIN","ANTIOQUIA","A","OFICIAL","NOCHE",2,41.5,35.5,36.5,36,43.5,37,42
180646,"CECOVE - SEDE PRINCIPAL",68081,"BARRANCABERMEJA","SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",41,44.1,41.17,41.22,37.41,44,40.93,42.66
16956,"COLEGIO EL CARMELO",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",30,59.43,55.6,58.6,61.6,58.1,58.17,58.77
124321,"COLEGIO INSTITUTO TECNICO DEL CARIBE - SEDE PRINCIPAL",47001,"SANTA MARTA","MAGDALENA","A","NO OFICIAL","MAÑANA",25,37.56,39.96,38.52,37.52,42.72,39.2,39.28
106344,"AMERICAN SCHOOL",8573,"PUERTO COLOMBIA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",33,62.18,65.36,65.27,67.33,80.55,66.88,61.91
92007,"NUEVO MILENIO",41551,"PITALITO","HUILA","A","NO OFICIAL","SABATINA - DOMINICAL",14,45.36,46.07,42.5,44.93,43.86,47.57,39.86
111153,"COLEGIO SIMON BOLIVAR",15759,"SOGAMOSO","BOYACA","A","NO OFICIAL","TARDE",21,48.62,48.71,50.95,50.81,46.24,49.62,52.43
108381,"COLEGIO RETOS - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",80,56.9,61.79,59.89,62.78,71.73,62.58,58.63
65524,"INST SAN FERNANDO FERRINI  SEDE CEDRITOS",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",68,50.56,50.69,54.18,51.29,51.38,51.46,53.81
22632,"ASPAEN GIMNASIO IRAGUA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",43,69.72,70.65,69.47,73.42,81.95,71.56,66.79
82719,"INST AUTONOMO SHAKESPEARE Y CERVANTES",85001,"YOPAL","CASANARE","A","NO OFICIAL","MAÑANA",36,46.5,46.5,48.67,47.08,45.64,46.94,48.31
58578,"INSTITUTO DE EDUCACION TECNICA  ICET  CENTRO",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",7,48.43,43.14,41.71,40.57,44.29,43,43.14
170050,"INSTITUCION EDUCATIVA PARA EL DESARROLLO ESTUDIANTIL Y PROFESIONAL - INDEP - SEDE PRINCIPAL",54001,"CUCUTA","NORTE SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",9,43.44,43.22,38.56,35.67,45,43,39.33
46383,"COL COLOMBO FRANCES",19001,"POPAYAN","CAUCA","B","NO OFICIAL","COMPLETA U ORDINARIA",21,62.1,62.67,63.67,64.67,64.67,64.38,63.43
93872,"INSTITUCIÓN EDUCATIVA CONTINENTAL DEL CARIBE",8758,"SOLEDAD","ATLANTICO","A","NO OFICIAL","NOCHE",65,42.45,41.63,40.28,37.62,43.91,42.29,41.46
46441,"FUND COL PAR SAN PEDRO CLAVER",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",61,51.26,49.1,49.74,49.02,48.92,49.36,49.62
89409,"INST EDUC SAN FRANCISCO JAVIER",76892,"YUMBO","VALLE","B","NO OFICIAL","MAÑANA",59,52.61,52.95,53.44,54.49,53.07,55.39,53.63
170530,"ACADEMIA COLOMBIANA DE ENSEÑANZA",76520,"PALMIRA","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",26,41.5,42.73,39.58,36.08,44.04,43.04,40.62
86512,"ATENEO AUTONOMO DE COLOMBIA",18001,"FLORENCIA","CAQUETA","A","NO OFICIAL","SABATINA - DOMINICAL",24,43.92,41.46,40.67,39.29,44.33,42.29,41.04
88849,"CENT DE FORMACION EDUCATIVA CENFE",25175,"CHIA","CUNDINAMARCA","A","NO OFICIAL","NOCHE",10,49.1,45,46.2,42.1,44.4,43,47
55657,"COLEGIO LUIS HORACIO GOMEZ",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",36,62.11,58.31,64.94,62.03,68.83,59.06,64.19
85415,"INST NUEVA COLOMBIA",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",22,45.86,44.64,45.23,44.59,45.14,46.09,45.14
127944,"GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL",50001,"VILLAVICENCIO","META","A","NO OFICIAL","SABATINA - DOMINICAL",84,44.6,43.77,42.92,41.08,43.8,44.61,43.36
76232,"COL TRIANGULO",25175,"CHIA","CUNDINAMARCA",NA,"NO OFICIAL","MAÑANA",24,47.63,49.75,49.54,49.75,48.63,51.17,48.79
80416,"COL  BOSTON",68001,"BUCARAMANGA","SANTANDER","A","NO OFICIAL","MAÑANA",7,45.71,47.43,44.43,48.29,50.57,49.71,44.86
156596,"CENTRO EDUCATIVO INSCAT - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",9,44.56,42.11,47.89,39.44,45.44,40.22,48.67
94755,"LIC JUVENIL",76111,"BUGA","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",9,62.56,65.22,62.11,65.67,66.89,64.44,63.67
17095,"COLEGIO LOS ANGELES SAN FERNANDO",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",15,60.47,61.27,63.93,62.4,58.47,62.73,63.47
191825,"I. E. ANA EVA ESCOBAR",5380,"LA ESTRELLA","ANTIOQUIA","A","OFICIAL","SABATINA - DOMINICAL",41,46.41,39.41,39.8,37.37,44,40.41,40.39
34637,"INST CIAL ARQUIDIOCESANO",76001,"CALI","VALLE","B","NO OFICIAL","TARDE",56,55.05,52.29,54.32,54.23,51.39,52.48,53.55
39461,"SEMINARIO MENOR ARQUIDIOCESANO",19001,"POPAYAN","CAUCA","B","NO OFICIAL","COMPLETA U ORDINARIA",42,62.12,73.86,70.6,73.57,63.79,75.6,67.57
112235,"LICEO NUESTRA SEÑORA DE LOURDES",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",12,54.67,52.58,58.92,60,55.08,53.5,57.92
175604,"INSTITUTO EDUCATIVO FUTURO HOY - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",11,47.91,44.36,47.64,45.27,44.55,45.36,45.82
164038,"INSTITUTO EDUCATIVO TECNOCIENCIAS REGIÓN CARIBE - SEDE PRINCIPAL",13001,"CARTAGENA","BOLIVAR","A","NO OFICIAL","MAÑANA",18,42.5,38.39,41.56,35.39,45.56,39.67,42
18184,"LIC DE LOS ANDES",76111,"BUGA","VALLE","B","NO OFICIAL","MAÑANA",30,62.63,68.67,64.73,68.8,66.17,70.27,62.8
13243,"INST QUIMBAYA",63594,"QUIMBAYA","QUINDIO","A","OFICIAL","NOCHE",17,46.41,41.88,45.71,46.71,46.65,42.82,45.71
105114,"COL MAYOR SAN MARCOS - SEDE PRINCIPAL",19001,"POPAYAN","CAUCA",NA,"NO OFICIAL","MAÑANA",17,49.12,49.41,48.59,48.18,51.18,48.76,50.35
16873,"COLEGIO DEL SAGRADO CORAZÓN DE JESÚS-VALLE DEL LILI",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",30,63.23,64.23,64.27,65.47,76.63,67.23,62.87
16691,"COLEGIO AMERICANO",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",129,62.47,62.51,64.01,64.18,65.92,64.41,63.13
638,"COL NUEVO CERVANTES CONOCER",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","SABATINA - DOMINICAL",236,44.03,42.07,42.14,37.53,42.93,42.63,42.89
168492,"COL. LOS LIBERTADORES",17001,"MANIZALES","CALDAS","A","NO OFICIAL","TARDE",1,43,39,34,52,42,39,39
23739,"LIC BOSTON",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",66,64.73,63.38,68.05,65.24,78.83,64.61,65.29
115691,"LATINOAMERICANA DE SISTEMAS Y EDUCACION LASIT - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",1,39,56,55,59,45,52,53
84988,"COLEGIO LEON DE GREIFF",76001,"CALI","VALLE","B","NO OFICIAL","TARDE",104,58.96,58.7,61.15,63.43,57.55,60.82,60.38
147983,"COL CAFAM",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",31,47.71,45.74,49,45.58,45.9,45.87,48.03
